Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
0,0.8447,./output/segRotationX_30.0/success/pred_0_0.gif,./output/segRotationX_30.0/success/gt_0_0.gif
1,0.8724,./output/segRotationX_30.0/success/pred_0_1.gif,./output/segRotationX_30.0/success/gt_0_1.gif
2,0.7787,./output/segRotationX_30.0/success/pred_0_2.gif,./output/segRotationX_30.0/success/gt_0_2.gif
3,0.7594,./output/segRotationX_30.0/success/pred_0_3.gif,./output/segRotationX_30.0/success/gt_0_3.gif
4,0.72319996,./output/segRotationX_30.0/success/pred_0_4.gif,./output/segRotationX_30.0/success/gt_0_4.gif
5,0.844,./output/segRotationX_30.0/success/pred_0_5.gif,./output/segRotationX_30.0/success/gt_0_5.gif
6,0.8894,./output/segRotationX_30.0/success/pred_0_6.gif,./output/segRotationX_30.0/success/gt_0_6.gif
7,0.87109995,./output/segRotationX_30.0/success/pred_0_7.gif,./output/segRotationX_30.0/success/gt_0_7.gif
8,0.88009995,./output/segRotationX_30.0/success/pred_0_8.gif,./output/segRotationX_30.0/success/gt_0_8.gif
9,0.6825,./output/segRotationX_30.0/success/pred_0_9.gif,./output/segRotationX_30.0/success/gt_0_9.gif
10,0.75229996,./output/segRotationX_30.0/success/pred_0_10.gif,./output/segRotationX_30.0/success/gt_0_10.gif
11,0.8246,./output/segRotationX_30.0/success/pred_0_11.gif,./output/segRotationX_30.0/success/gt_0_11.gif
12,0.756,./output/segRotationX_30.0/success/pred_0_12.gif,./output/segRotationX_30.0/success/gt_0_12.gif
13,0.9321,./output/segRotationX_30.0/success/pred_0_13.gif,./output/segRotationX_30.0/success/gt_0_13.gif
14,0.833,./output/segRotationX_30.0/success/pred_0_14.gif,./output/segRotationX_30.0/success/gt_0_14.gif
15,0.899,./output/segRotationX_30.0/success/pred_0_15.gif,./output/segRotationX_30.0/success/gt_0_15.gif
16,0.78859997,./output/segRotationX_30.0/success/pred_0_16.gif,./output/segRotationX_30.0/success/gt_0_16.gif
17,0.8444,./output/segRotationX_30.0/success/pred_0_17.gif,./output/segRotationX_30.0/success/gt_0_17.gif
18,0.8788,./output/segRotationX_30.0/success/pred_0_18.gif,./output/segRotationX_30.0/success/gt_0_18.gif
19,0.8639,./output/segRotationX_30.0/success/pred_0_19.gif,./output/segRotationX_30.0/success/gt_0_19.gif
20,0.8311,./output/segRotationX_30.0/success/pred_0_20.gif,./output/segRotationX_30.0/success/gt_0_20.gif
21,0.8714,./output/segRotationX_30.0/success/pred_0_21.gif,./output/segRotationX_30.0/success/gt_0_21.gif
22,0.75699997,./output/segRotationX_30.0/success/pred_0_22.gif,./output/segRotationX_30.0/success/gt_0_22.gif
23,0.8433,./output/segRotationX_30.0/success/pred_0_23.gif,./output/segRotationX_30.0/success/gt_0_23.gif
24,0.62839997,./output/segRotationX_30.0/success/pred_0_24.gif,./output/segRotationX_30.0/success/gt_0_24.gif
25,0.77169997,./output/segRotationX_30.0/success/pred_0_25.gif,./output/segRotationX_30.0/success/gt_0_25.gif
26,0.42499998,./output/segRotationX_30.0/fail/pred_0_26.gif,./output/segRotationX_30.0/fail/gt_0_26.gif
27,0.8436,./output/segRotationX_30.0/success/pred_0_27.gif,./output/segRotationX_30.0/success/gt_0_27.gif
28,0.9027,./output/segRotationX_30.0/success/pred_0_28.gif,./output/segRotationX_30.0/success/gt_0_28.gif
29,0.7211,./output/segRotationX_30.0/success/pred_0_29.gif,./output/segRotationX_30.0/success/gt_0_29.gif
30,0.90569997,./output/segRotationX_30.0/success/pred_0_30.gif,./output/segRotationX_30.0/success/gt_0_30.gif
31,0.8559,./output/segRotationX_30.0/success/pred_0_31.gif,./output/segRotationX_30.0/success/gt_0_31.gif
32,0.6419,./output/segRotationX_30.0/success/pred_1_0.gif,./output/segRotationX_30.0/success/gt_1_0.gif
33,0.8639,./output/segRotationX_30.0/success/pred_1_1.gif,./output/segRotationX_30.0/success/gt_1_1.gif
34,0.89229995,./output/segRotationX_30.0/success/pred_1_2.gif,./output/segRotationX_30.0/success/gt_1_2.gif
35,0.82919997,./output/segRotationX_30.0/success/pred_1_3.gif,./output/segRotationX_30.0/success/gt_1_3.gif
36,0.8103,./output/segRotationX_30.0/success/pred_1_4.gif,./output/segRotationX_30.0/success/gt_1_4.gif
37,0.9052,./output/segRotationX_30.0/success/pred_1_5.gif,./output/segRotationX_30.0/success/gt_1_5.gif
38,0.6597,./output/segRotationX_30.0/success/pred_1_6.gif,./output/segRotationX_30.0/success/gt_1_6.gif
39,0.87219995,./output/segRotationX_30.0/success/pred_1_7.gif,./output/segRotationX_30.0/success/gt_1_7.gif
40,0.8437,./output/segRotationX_30.0/success/pred_1_8.gif,./output/segRotationX_30.0/success/gt_1_8.gif
41,0.6953,./output/segRotationX_30.0/success/pred_1_9.gif,./output/segRotationX_30.0/success/gt_1_9.gif
42,0.24319999,./output/segRotationX_30.0/fail/pred_1_10.gif,./output/segRotationX_30.0/fail/gt_1_10.gif
43,0.72209996,./output/segRotationX_30.0/success/pred_1_11.gif,./output/segRotationX_30.0/success/gt_1_11.gif
44,0.8483,./output/segRotationX_30.0/success/pred_1_12.gif,./output/segRotationX_30.0/success/gt_1_12.gif
45,0.8236,./output/segRotationX_30.0/success/pred_1_13.gif,./output/segRotationX_30.0/success/gt_1_13.gif
