Object Index,Accuracy
0,0.67469996
1,0.5218
2,0.5263
3,0.5096
4,0.4727
5,0.5426
6,0.67649996
7,0.6688
8,0.6924
9,0.4867
10,0.62009996
11,0.6728
12,0.50119996
13,0.5492
14,0.5229
15,0.6134
16,0.5329
17,0.5812
18,0.58169997
19,0.6351
20,0.7019
21,0.5669
22,0.4951
23,0.5785
24,0.5362
25,0.6831
26,0.4479
27,0.64989996
28,0.6885
29,0.4748
30,0.5999
31,0.6221
32,0.4436
33,0.5158
34,0.436
35,0.3811
36,0.52599996
37,0.6917
38,0.70409995
39,0.59599996
40,0.48959997
41,0.44669998
42,0.4412
43,0.4644
44,0.5718
45,0.5751
46,0.5006
47,0.48169997
48,0.5609
49,0.6207
50,0.48369998
51,0.4506
52,0.5536
53,0.5376
54,0.48499998
55,0.53099996
56,0.5184
57,0.5732
58,0.5064
59,0.5577
60,0.5825
61,0.447
62,0.594
63,0.59099996
64,0.48659998
65,0.5112
66,0.55399996
67,0.68579996
68,0.4852
69,0.5762
70,0.6015
71,0.57699996
72,0.5825
73,0.5337
74,0.4799
75,0.5106
76,0.6404
77,0.085
78,0.4382
79,0.5198
80,0.4604
81,0.479
82,0.4657
83,0.5086
84,0.6081
85,0.4567
86,0.49159998
87,0.58739996
88,0.67039996
89,0.5259
90,0.4804
91,0.6566
92,0.66319996
93,0.4312
94,0.50659996
95,0.55259997
96,0.4386
97,0.40309998
98,0.48229998
99,0.5173
100,0.5888
101,0.50049996
102,0.65059996
103,0.6917
104,0.46339998
105,0.48499998
106,0.56839997
107,0.4867
108,0.5589
109,0.52279997
110,0.6325
111,0.6451
112,0.6421
113,0.6297
114,0.4015
115,0.4351
116,0.45589998
117,0.5473
118,0.6299
119,0.5753
120,0.5731
121,0.5811
122,0.3098
123,0.4028
124,0.5068
125,0.4592
126,0.4497
127,0.49089998
128,0.5848
129,0.61899996
130,0.56409997
131,0.4764
132,0.3854
133,0.6125
134,0.34109998
135,0.45639998
136,0.4396
137,0.68549997
138,0.5405
139,0.3847
140,0.445
141,0.5566
142,0.4402
143,0.49179998
144,0.61149997
145,0.5815
146,0.6191
147,0.5476
148,0.67469996
149,0.5456
150,0.59709996
151,0.56229997
152,0.5334
153,0.6041
154,0.5505
155,0.5277
156,0.34809998
157,0.4793
158,0.6272
159,0.66389996
160,0.5177
161,0.6922
162,0.6982
163,0.42389998
164,0.44849998
165,0.43289998
166,0.6584
167,0.6141
168,0.35349998
169,0.6843
170,0.6052
171,0.43289998
172,0.3419
173,0.6422
174,0.46829998
175,0.47219998
176,0.5101
177,0.6195
178,0.5604
179,0.4516
180,0.47509998
181,0.653
182,0.4536
183,0.5094
184,0.5335
185,0.48909998
186,0.5438
187,0.55259997
188,0.55939996
189,0.6038
190,0.5773
191,0.5172
192,0.56079996
193,0.4718
194,0.4094
195,0.5489
196,0.5798
197,0.5244
198,0.523
199,0.7305
200,0.4829
201,0.5509
202,0.63119996
203,0.42389998
204,0.41329998
205,0.6566
206,0.46739998
207,0.64059997
208,0.506
209,0.5779
210,0.5203
211,0.5906
212,0.5884
213,0.4944
214,0.43699998
215,0.6828
216,0.4412
217,0.4752
218,0.53069997
219,0.60679996
220,0.6468
221,0.59999996
222,0.5847
223,0.58309996
224,0.5955
225,0.445
226,0.33249998
227,0.49539998
228,0.5374
229,0.51019996
230,0.4736
231,0.6285
232,0.4739
233,0.6455
234,0.5013
235,0.3547
236,0.6958
237,0.4407
238,0.2715
239,0.5743
240,0.54539996
241,0.5822
242,0.44579998
243,0.51019996
