Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
73,0.93509996,./output/seg/success/pred_2_9.gif,./output/seg/success/gt_2_9.gif
74,0.8944,./output/seg/success/pred_2_10.gif,./output/seg/success/gt_2_10.gif
75,0.8544,./output/seg/success/pred_2_11.gif,./output/seg/success/gt_2_11.gif
76,0.94259995,./output/seg/success/pred_2_12.gif,./output/seg/success/gt_2_12.gif
77,0.9213,./output/seg/success/pred_2_13.gif,./output/seg/success/gt_2_13.gif
78,0.84599996,./output/seg/success/pred_2_14.gif,./output/seg/success/gt_2_14.gif
79,0.87649995,./output/seg/success/pred_2_15.gif,./output/seg/success/gt_2_15.gif
80,0.85069996,./output/seg/success/pred_2_16.gif,./output/seg/success/gt_2_16.gif
81,0.9184,./output/seg/success/pred_2_17.gif,./output/seg/success/gt_2_17.gif
82,0.8864,./output/seg/success/pred_2_18.gif,./output/seg/success/gt_2_18.gif
83,0.9709,./output/seg/success/pred_2_19.gif,./output/seg/success/gt_2_19.gif
84,0.89669997,./output/seg/success/pred_2_20.gif,./output/seg/success/gt_2_20.gif
85,0.7184,./output/seg/success/pred_2_21.gif,./output/seg/success/gt_2_21.gif
86,0.9704,./output/seg/success/pred_2_22.gif,./output/seg/success/gt_2_22.gif
87,0.9551,./output/seg/success/pred_2_23.gif,./output/seg/success/gt_2_23.gif
88,0.86969995,./output/seg/success/pred_2_24.gif,./output/seg/success/gt_2_24.gif
89,0.9701,./output/seg/success/pred_2_25.gif,./output/seg/success/gt_2_25.gif
90,0.69159997,./output/seg/success/pred_2_26.gif,./output/seg/success/gt_2_26.gif
91,0.9695,./output/seg/success/pred_2_27.gif,./output/seg/success/gt_2_27.gif
92,0.95489997,./output/seg/success/pred_2_28.gif,./output/seg/success/gt_2_28.gif
93,0.88629997,./output/seg/success/pred_2_29.gif,./output/seg/success/gt_2_29.gif
94,0.9694,./output/seg/success/pred_2_30.gif,./output/seg/success/gt_2_30.gif
95,0.737,./output/seg/success/pred_2_31.gif,./output/seg/success/gt_2_31.gif
96,0.56009996,./output/seg/success/pred_3_0.gif,./output/seg/success/gt_3_0.gif
97,0.6222,./output/seg/success/pred_3_1.gif,./output/seg/success/gt_3_1.gif
98,0.96519995,./output/seg/success/pred_3_2.gif,./output/seg/success/gt_3_2.gif
99,0.9598,./output/seg/success/pred_3_3.gif,./output/seg/success/gt_3_3.gif
100,0.9697,./output/seg/success/pred_3_4.gif,./output/seg/success/gt_3_4.gif
101,0.94879997,./output/seg/success/pred_3_5.gif,./output/seg/success/gt_3_5.gif
102,0.98499995,./output/seg/success/pred_3_6.gif,./output/seg/success/gt_3_6.gif
103,0.89379996,./output/seg/success/pred_3_7.gif,./output/seg/success/gt_3_7.gif
104,0.77349997,./output/seg/success/pred_3_8.gif,./output/seg/success/gt_3_8.gif
105,0.7406,./output/seg/success/pred_3_9.gif,./output/seg/success/gt_3_9.gif
106,0.93899995,./output/seg/success/pred_3_10.gif,./output/seg/success/gt_3_10.gif
107,0.94079995,./output/seg/success/pred_3_11.gif,./output/seg/success/gt_3_11.gif
108,0.9522,./output/seg/success/pred_3_12.gif,./output/seg/success/gt_3_12.gif
109,0.85679996,./output/seg/success/pred_3_13.gif,./output/seg/success/gt_3_13.gif
110,0.92389995,./output/seg/success/pred_3_14.gif,./output/seg/success/gt_3_14.gif
111,0.9733,./output/seg/success/pred_3_15.gif,./output/seg/success/gt_3_15.gif
112,0.93579996,./output/seg/success/pred_3_16.gif,./output/seg/success/gt_3_16.gif
113,0.98999995,./output/seg/success/pred_3_17.gif,./output/seg/success/gt_3_17.gif
114,0.78749996,./output/seg/success/pred_3_18.gif,./output/seg/success/gt_3_18.gif
115,0.9741,./output/seg/success/pred_3_19.gif,./output/seg/success/gt_3_19.gif
116,0.7107,./output/seg/success/pred_3_20.gif,./output/seg/success/gt_3_20.gif
117,0.968,./output/seg/success/pred_3_21.gif,./output/seg/success/gt_3_21.gif
118,0.95,./output/seg/success/pred_3_22.gif,./output/seg/success/gt_3_22.gif
119,0.8699,./output/seg/success/pred_3_23.gif,./output/seg/success/gt_3_23.gif
120,0.96709996,./output/seg/success/pred_3_24.gif,./output/seg/success/gt_3_24.gif
121,0.9111,./output/seg/success/pred_3_25.gif,./output/seg/success/gt_3_25.gif
122,0.96699995,./output/seg/success/pred_3_26.gif,./output/seg/success/gt_3_26.gif
123,0.93289995,./output/seg/success/pred_3_27.gif,./output/seg/success/gt_3_27.gif
124,0.70629996,./output/seg/success/pred_3_28.gif,./output/seg/success/gt_3_28.gif
125,0.9662,./output/seg/success/pred_3_29.gif,./output/seg/success/gt_3_29.gif
126,0.9772,./output/seg/success/pred_3_30.gif,./output/seg/success/gt_3_30.gif
127,0.9479,./output/seg/success/pred_3_31.gif,./output/seg/success/gt_3_31.gif
128,0.90959996,./output/seg/success/pred_4_0.gif,./output/seg/success/gt_4_0.gif
129,0.964,./output/seg/success/pred_4_1.gif,./output/seg/success/gt_4_1.gif
130,0.95299995,./output/seg/success/pred_4_2.gif,./output/seg/success/gt_4_2.gif
131,0.9632,./output/seg/success/pred_4_3.gif,./output/seg/success/gt_4_3.gif
132,0.76559997,./output/seg/success/pred_4_4.gif,./output/seg/success/gt_4_4.gif
133,0.9754,./output/seg/success/pred_4_5.gif,./output/seg/success/gt_4_5.gif
134,0.866,./output/seg/success/pred_4_6.gif,./output/seg/success/gt_4_6.gif
135,0.84,./output/seg/success/pred_4_7.gif,./output/seg/success/gt_4_7.gif
136,0.9108,./output/seg/success/pred_4_8.gif,./output/seg/success/gt_4_8.gif
137,0.96489996,./output/seg/success/pred_4_9.gif,./output/seg/success/gt_4_9.gif
138,0.9633,./output/seg/success/pred_4_10.gif,./output/seg/success/gt_4_10.gif
139,0.8831,./output/seg/success/pred_4_11.gif,./output/seg/success/gt_4_11.gif
140,0.854,./output/seg/success/pred_4_12.gif,./output/seg/success/gt_4_12.gif
141,0.9844,./output/seg/success/pred_4_13.gif,./output/seg/success/gt_4_13.gif
142,0.573,./output/seg/success/pred_4_14.gif,./output/seg/success/gt_4_14.gif
143,0.8797,./output/seg/success/pred_4_15.gif,./output/seg/success/gt_4_15.gif
144,0.8588,./output/seg/success/pred_4_16.gif,./output/seg/success/gt_4_16.gif
145,0.95629996,./output/seg/success/pred_4_17.gif,./output/seg/success/gt_4_17.gif
146,0.9122,./output/seg/success/pred_4_18.gif,./output/seg/success/gt_4_18.gif
147,0.9353,./output/seg/success/pred_4_19.gif,./output/seg/success/gt_4_19.gif
148,0.9763,./output/seg/success/pred_4_20.gif,./output/seg/success/gt_4_20.gif
149,0.8303,./output/seg/success/pred_4_21.gif,./output/seg/success/gt_4_21.gif
150,0.9788,./output/seg/success/pred_4_22.gif,./output/seg/success/gt_4_22.gif
151,0.935,./output/seg/success/pred_4_23.gif,./output/seg/success/gt_4_23.gif
152,0.93659997,./output/seg/success/pred_4_24.gif,./output/seg/success/gt_4_24.gif
153,0.7418,./output/seg/success/pred_4_25.gif,./output/seg/success/gt_4_25.gif
154,0.9402,./output/seg/success/pred_4_26.gif,./output/seg/success/gt_4_26.gif
155,0.8991,./output/seg/success/pred_4_27.gif,./output/seg/success/gt_4_27.gif
156,0.8168,./output/seg/success/pred_4_28.gif,./output/seg/success/gt_4_28.gif
157,0.8032,./output/seg/success/pred_4_29.gif,./output/seg/success/gt_4_29.gif
158,0.9335,./output/seg/success/pred_4_30.gif,./output/seg/success/gt_4_30.gif
159,0.9813,./output/seg/success/pred_4_31.gif,./output/seg/success/gt_4_31.gif
160,0.922,./output/seg/success/pred_5_0.gif,./output/seg/success/gt_5_0.gif
161,0.9633,./output/seg/success/pred_5_1.gif,./output/seg/success/gt_5_1.gif
162,0.98209995,./output/seg/success/pred_5_2.gif,./output/seg/success/gt_5_2.gif
163,0.6328,./output/seg/success/pred_5_3.gif,./output/seg/success/gt_5_3.gif
164,0.83669996,./output/seg/success/pred_5_4.gif,./output/seg/success/gt_5_4.gif
165,0.84,./output/seg/success/pred_5_5.gif,./output/seg/success/gt_5_5.gif
166,0.97529995,./output/seg/success/pred_5_6.gif,./output/seg/success/gt_5_6.gif
167,0.96239996,./output/seg/success/pred_5_7.gif,./output/seg/success/gt_5_7.gif
168,0.7258,./output/seg/success/pred_5_8.gif,./output/seg/success/gt_5_8.gif
169,0.93399996,./output/seg/success/pred_5_9.gif,./output/seg/success/gt_5_9.gif
170,0.94879997,./output/seg/success/pred_5_10.gif,./output/seg/success/gt_5_10.gif
171,0.9245,./output/seg/success/pred_5_11.gif,./output/seg/success/gt_5_11.gif
172,0.98539996,./output/seg/success/pred_5_12.gif,./output/seg/success/gt_5_12.gif
173,0.9396,./output/seg/success/pred_5_13.gif,./output/seg/success/gt_5_13.gif
174,0.8272,./output/seg/success/pred_5_14.gif,./output/seg/success/gt_5_14.gif
175,0.8811,./output/seg/success/pred_5_15.gif,./output/seg/success/gt_5_15.gif
176,0.97429997,./output/seg/success/pred_5_16.gif,./output/seg/success/gt_5_16.gif
