Object Index,Accuracy
0,0.73179996
1,0.9005
2,0.723
3,0.6892
4,0.7353
5,0.7521
6,0.82919997
7,0.8152
8,0.78499997
9,0.46519998
10,0.4127
11,0.7923
12,0.6461
13,0.79319996
14,0.7583
15,0.7989
16,0.6924
17,0.6835
18,0.738
19,0.75879997
20,0.7576
21,0.8519
22,0.6796
23,0.788
24,0.45459998
25,0.8501
26,0.3592
27,0.82479995
28,0.8402
29,0.6577
30,0.7992
31,0.7518
32,0.6853
33,0.6978
34,0.80249995
35,0.724
36,0.7244
37,0.8835
38,0.7284
39,0.82449996
40,0.7327
41,0.6627
42,0.0311
43,0.6199
44,0.82479995
45,0.7741
46,0.8501
47,0.73249996
48,0.9073
49,0.7428
50,0.8286
51,0.6541
52,0.72889996
53,0.8086
54,0.6042
55,0.74549997
56,0.7716
57,0.7443
58,0.6491
59,0.7694
60,0.5911
61,0.5825
62,0.7348
63,0.8714
64,0.5988
65,0.7736
66,0.6888
67,0.74539995
68,0.7283
69,0.7863
70,0.7223
71,0.80189997
72,0.7333
73,0.7984
74,0.7161
75,0.69549996
76,0.8171
77,0.1232
78,0.51699996
79,0.793
80,0.66249996
81,0.6663
82,0.60319996
83,0.8207
84,0.8086
85,0.43969998
86,0.6512
87,0.82519996
88,0.8387
89,0.7443
90,0.3962
91,0.7779
92,0.7963
93,0.5009
94,0.8436
95,0.6031
96,0.578
97,0.5974
98,0.7919
99,0.7359
100,0.7741
101,0.7779
102,0.83059996
103,0.7669
104,0.635
105,0.6046
106,0.8383
107,0.74039996
108,0.8095
109,0.67829996
110,0.69119996
111,0.75509995
112,0.78169996
113,0.8724
114,0.6235
115,0.48499998
116,0.5794
117,0.6425
118,0.7711
119,0.7572
120,0.83339995
121,0.7833
122,0.3685
123,0.3545
124,0.5929
125,0.5812
126,0.9122
127,0.8262
128,0.7836
129,0.8197
130,0.7513
131,0.8447
132,0.473
133,0.82009995
134,0.47399998
135,0.6748
136,0.6737
137,0.7373
138,0.7881
139,0.39029998
140,0.60569996
141,0.88369995
142,0.4464
143,0.7547
144,0.80509996
145,0.732
146,0.612
147,0.8412
148,0.78029996
149,0.5202
150,0.8232
151,0.77019995
152,0.75229996
153,0.71029997
154,0.85609996
155,0.87839997
156,0.49139997
157,0.66719997
158,0.44979998
159,0.78669995
160,0.5726
161,0.7861
162,0.8735
163,0.2512
164,0.6403
165,0.65389997
166,0.9202
167,0.82299995
168,0.6507
169,0.7152
170,0.83949995
171,0.54219997
172,0.5342
173,0.7912
174,0.6849
175,0.62049997
176,0.77809995
177,0.9012
178,0.73899996
179,0.6818
180,0.7251
181,0.7066
182,0.68979996
183,0.8486
184,0.78209996
185,0.89309996
186,0.7441
187,0.6173
188,0.79929996
189,0.8059
190,0.77599996
191,0.77459997
192,0.6246
193,0.66459996
194,0.7452
195,0.8042
196,0.76629996
197,0.7565
198,0.6706
199,0.8154
200,0.6924
201,0.8039
202,0.7324
203,0.653
204,0.78599995
205,0.7884
206,0.80399996
207,0.74979997
208,0.7058
209,0.80249995
210,0.76589996
211,0.75879997
212,0.89309996
213,0.7417
214,0.5275
215,0.80689996
216,0.5248
217,0.58239996
218,0.5318
219,0.6939
220,0.8052
221,0.6796
222,0.7599
223,0.7269
224,0.77639997
225,0.4991
226,0.57049996
227,0.8071
228,0.64309996
229,0.3425
230,0.82019997
231,0.9147
232,0.5868
233,0.89409995
234,0.62409997
235,0.37
236,0.7762
237,0.61689997
238,0.4418
239,0.8099
240,0.8645
241,0.8702
242,0.7014
243,0.83339995
244,0.834
245,0.74539995
246,0.9054
247,0.7159
248,0.6293
249,0.6969
250,0.8455
251,0.8172
252,0.75159997
253,0.84739995
254,0.4183
255,0.6003
256,0.6914
257,0.67689997
258,0.88699996
259,0.61289996
260,0.1011
261,0.8623
262,0.77639997
263,0.8375
264,0.83629996
265,0.5627
266,0.8448
267,0.71
268,0.6364
269,0.6078
270,0.71889997
271,0.7808
272,0.6418
273,0.7504
274,0.5632
275,0.8792
276,0.714
277,0.85279995
278,0.7463
279,0.5974
280,0.7845
281,0.8541
282,0.7927
283,0.5981
284,0.80289996
285,0.9111
286,0.86439997
287,0.7122
288,0.85249996
289,0.8407
290,0.7819
291,0.77599996
292,0.3502
293,0.7752
294,0.85569996
295,0.7072
296,0.7748
297,0.843
298,0.8369
299,0.56619996
300,0.7736
301,0.77099997
302,0.76129997
303,0.8027
304,0.79679996
305,0.77959996
306,0.6568
307,0.803
308,0.8822
309,0.76919997
310,0.5288
311,0.6662
312,0.6529
313,0.8206
314,0.74829996
315,0.74899995
316,0.85609996
317,0.7453
318,0.8427
319,0.8171
320,0.8314
321,0.66929996
322,0.5166
323,0.54359996
324,0.805
325,0.7987
326,0.7333
327,0.4305
328,0.41869998
329,0.7958
330,0.5701
331,0.5189
332,0.27629998
333,0.42209998
334,0.8081
335,0.61259997
336,0.8168
337,0.6498
338,0.7797
339,0.68689996
340,0.8458
341,0.59569997
342,0.7908
343,0.5208
344,0.7241
345,0.7913
346,0.6606
347,0.8294
348,0.7097
349,0.6372
350,0.8463
351,0.6096
352,0.6957
353,0.73749995
354,0.5865
355,0.7769
356,0.78999996
357,0.61399996
358,0.67069995
359,0.8479
360,0.7849
361,0.8138
362,0.8028
363,0.84499997
364,0.761
365,0.5208
366,0.6644
367,0.6135
368,0.6978
369,0.85539997
370,0.6933
371,0.5614
372,0.7811
373,0.88159996
374,0.74109995
375,0.78779995
376,0.8524
377,0.77779996
378,0.7298
379,0.5832
380,0.71199995
381,0.8102
382,0.7935
383,0.5597
384,0.70629996
385,0.80109996
386,0.56769997
387,0.5002
388,0.64169997
389,0.13599999
390,0.51739997
391,0.64559996
392,0.6871
393,0.77199996
394,0.532
395,0.79039997
396,0.8161
397,0.9174
398,0.4956
399,0.7053
400,0.62839997
401,0.833
402,0.5409
403,0.4585
404,0.7119
405,0.765
406,0.7
407,0.6825
408,0.70339996
409,0.812
410,0.9316
411,0.72929996
412,0.6961
413,0.8437
414,0.67689997
415,0.7697
416,0.6265
417,0.5624
418,0.80399996
419,0.53459996
420,0.6024
421,0.81149995
422,0.69949996
423,0.826
424,0.8383
425,0.8588
426,0.7292
427,0.6131
428,0.8646
429,0.7543
430,0.9068
431,0.82769996
432,0.33269998
433,0.7308
434,0.87049997
435,0.6103
436,0.6234
437,0.6799
438,0.78709996
439,0.8315
440,0.7396
441,0.60389996
442,0.7611
443,0.6282
444,0.8786
445,0.44189999
446,0.847
447,0.5952
448,0.7499
449,0.7859
450,0.68689996
451,0.6265
452,0.62189996
453,0.69369996
454,0.1257
455,0.784
456,0.75369996
457,0.82009995
