Object Index,Accuracy
0,0.23879999
1,0.28939998
2,0.087299995
3,0.20019999
4,0.20889999
5,0.30339998
6,0.22479999
7,0.2139
8,0.21429999
9,0.20989999
10,0.2068
11,0.17369999
12,0.1741
13,0.1371
14,0.2609
15,0.2739
16,0.2938
17,0.23719999
18,0.22749999
19,0.24319999
20,0.21169999
21,0.1971
22,0.19659999
23,0.1831
24,0.2634
25,0.1823
26,0.1977
27,0.23629999
28,0.16569999
29,0.1733
30,0.2773
31,0.25849998
32,0.1867
33,0.1496
34,0.35549998
35,0.17799999
36,0.077199996
37,0.2811
38,0.2277
39,0.3026
40,0.35889998
41,0.40039998
42,0.163
43,0.2428
44,0.3367
45,0.3046
46,0.20979999
47,0.25329998
48,0.22649999
49,0.2565
50,0.2051
51,0.15439999
52,0.29749998
53,0.26459998
54,0.2148
55,0.13939999
56,0.1925
57,0.2608
58,0.105
59,0.2852
60,0.0567
61,0.3132
62,0.2516
63,0.2013
64,0.1964
65,0.2843
66,0.2906
67,0.17999999
68,0.3067
69,0.40879998
70,0.281
71,0.2705
72,0.204
73,0.2698
74,0.3516
75,0.29889998
76,0.2771
77,0.35549998
78,0.2452
79,0.1997
80,0.28509998
81,0.2166
82,0.22839999
83,0.29029998
84,0.30949998
85,0.1479
86,0.29839998
87,0.2606
88,0.2197
89,0.3041
90,0.3265
91,0.2534
92,0.17539999
93,0.2837
94,0.3222
95,0.2294
96,0.2375
97,0.110599995
98,0.1651
99,0.20179999
100,0.22199999
101,0.2172
102,0.24049999
103,0.3208
104,0.23079999
105,0.1232
106,0.22829999
107,0.2625
108,0.2987
109,0.23779999
110,0.3997
111,0.27989998
112,0.2102
113,0.18159999
114,0.2866
115,0.3276
116,0.24219999
117,0.2671
118,0.19849999
119,0.3004
120,0.2254
121,0.3241
122,0.3261
123,0.23519999
124,0.1946
125,0.23259999
126,0.23089999
127,0.2184
128,0.2342
129,0.2453
130,0.1704
131,0.347
132,0.36589998
133,0.23359999
134,0.3335
135,0.17539999
136,0.3283
137,0.1973
138,0.28079998
139,0.4768
140,0.30769998
141,0.21589999
142,0.2737
143,0.2652
144,0.20529999
145,0.17979999
146,0.1929
147,0.3184
148,0.26139998
149,0.1523
150,0.22999999
151,0.2443
152,0.13069999
153,0.2541
154,0.2199
155,0.2052
156,0.116299994
157,0.24839999
158,0.1669
159,0.2051
160,0.1872
161,0.2332
162,0.16229999
163,0.2417
164,0.2364
165,0.2444
166,0.2408
167,0.25509998
168,0.3283
169,0.21769999
170,0.15879999
171,0.21169999
172,0.21499999
173,0.31829998
174,0.264
175,0.2243
176,0.2047
177,0.23099999
178,0.2393
179,0.2902
180,0.3375
181,0.34239998
182,0.16049999
183,0.2548
184,0.2235
185,0.27989998
186,0.1704
187,0.2219
188,0.20009999
189,0.2471
190,0.196
191,0.27429998
192,0.1743
193,0.2243
194,0.28669998
195,0.2696
196,0.329
197,0.3581
198,0.2805
199,0.26029998
200,0.21319999
201,0.27609998
202,0.302
203,0.1413
204,0.2636
205,0.1787
206,0.20549999
207,0.29029998
208,0.3354
209,0.2979
210,0.20889999
211,0.1493
212,0.1778
213,0.33519998
214,0.2228
215,0.2582
216,0.32119998
217,0.2015
218,0.2013
219,0.2769
220,0.2511
221,0.2483
222,0.2463
223,0.2829
224,0.2755
225,0.088999994
226,0.1951
227,0.3445
228,0.3391
229,0.16849999
230,0.26209998
231,0.1909
232,0.3206
233,0.2386
234,0.1871
235,0.13759999
236,0.1528
237,0.21419999
238,0.0761
239,0.2843
240,0.20979999
241,0.2911
242,0.4168
243,0.2757
244,0.2289
245,0.2314
246,0.21509999
247,0.1335
248,0.4014
249,0.3592
250,0.1969
251,0.2456
252,0.195
253,0.20459999
254,0.22739999
255,0.23879999
256,0.2555
257,0.2162
258,0.24679999
259,0.2943
260,0.23359999
261,0.1505
262,0.2016
263,0.24059999
264,0.29659998
265,0.22459999
266,0.29479998
267,0.2403
268,0.3042
269,0.2496
270,0.26819998
271,0.24489999
272,0.1087
273,0.27429998
274,0.2647
275,0.29209998
276,0.29029998
277,0.1809
278,0.2828
279,0.28079998
280,0.2573
281,0.2811
282,0.22309999
283,0.2505
284,0.22379999
285,0.2572
286,0.2835
287,0.2841
288,0.1829
289,0.17289999
290,0.176
291,0.2316
292,0.0499
293,0.1989
294,0.4588
295,0.21059999
296,0.191
297,0.2382
298,0.3348
299,0.3048
300,0.24319999
301,0.2705
302,0.2056
303,0.2667
304,0.33699998
305,0.1848
306,0.25329998
307,0.25689998
308,0.2827
309,0.3193
310,0.2085
311,0.26459998
312,0.22989999
313,0.22219999
314,0.24399999
315,0.3039
316,0.1541
317,0.1986
318,0.2096
319,0.21759999
320,0.1792
321,0.30089998
322,0.16309999
323,0.1786
324,0.18969999
325,0.2766
326,0.1173
327,0.1556
328,0.2978
329,0.2545
330,0.17469999
331,0.2015
332,0.13859999
333,0.0656
334,0.2166
335,0.35169998
336,0.22559999
337,0.2288
338,0.30449998
339,0.26909998
340,0.2593
341,0.2562
342,0.2936
343,0.21679999
344,0.3708
345,0.2608
346,0.2981
347,0.17369999
348,0.248
349,0.2346
350,0.2261
351,0.3875
352,0.25669998
353,0.22019999
354,0.2443
355,0.1793
356,0.2225
357,0.1863
358,0.31309998
359,0.2418
360,0.27179998
361,0.1269
362,0.1943
363,0.16409999
364,0.1809
365,0.29099998
366,0.2873
367,0.2874
368,0.2376
369,0.2731
370,0.2061
371,0.2676
372,0.2324
373,0.1865
374,0.2296
375,0.2548
376,0.28579998
377,0.34849998
378,0.2889
379,0.1699
380,0.254
381,0.1963
