Object Index,Accuracy
0,0.31849998
1,0.104399994
2,0.12629999
3,0.2909
4,0.341
5,0.31509998
6,0.2488
7,0.124699995
8,0.29119998
9,0.3198
10,0.33929998
11,0.295
12,0.3511
13,0.1723
14,0.24059999
15,0.1801
16,0.2854
17,0.3613
18,0.17019999
19,0.2738
20,0.2512
21,0.035499997
22,0.3014
23,0.1003
24,0.0363
25,0.3285
26,0.2295
27,0.2794
28,0.2382
29,0.47559997
30,0.1113
31,0.2766
32,0.39929998
33,0.2949
34,0.24769999
35,0.120799996
36,0.0402
37,0.24159999
38,0.32729998
39,0.24859999
40,0.2777
41,0.4028
42,0.0372
43,0.2166
44,0.35709998
45,0.2417
46,0.1506
47,0.1688
48,0.0497
49,0.3942
50,0.1169
51,0.29029998
52,0.1735
53,0.0985
54,0.3649
55,0.0491
56,0.1665
57,0.1706
58,0.25869998
59,0.33249998
60,0.5384
61,0.16149999
62,0.3135
63,0.1312
64,0.29029998
65,0.095199995
66,0.2461
67,0.3041
68,0.4073
69,0.17979999
70,0.20359999
71,0.243
72,0.40449998
73,0.3326
74,0.1378
75,0.34219998
76,0.2949
77,0.1866
78,0.076799996
79,0.2131
80,0.1714
81,0.2144
82,0.069299996
83,0.1326
84,0.21869999
85,0.1795
86,0.1556
87,0.1661
88,0.2829
89,0.28939998
90,0.0887
91,0.35119998
92,0.2868
93,0.16939999
94,0.18779999
95,0.17979999
96,0.2536
97,0.1335
98,0.0657
99,0.1603
100,0.1252
101,0.2845
102,0.3155
103,0.292
104,0.2726
105,0.1531
106,0.0986
107,0.17449999
108,0.2852
109,0.35169998
110,0.2618
111,0.1643
112,0.3114
113,0.15259999
114,0.24129999
115,0.1563
116,0.44189999
117,0.37739998
118,0.1793
119,0.2216
120,0.15169999
121,0.3178
122,0.1726
123,0.1519
124,0.1533
125,0.1096
126,0.096599996
127,0.2355
128,0.15169999
129,0.14549999
130,0.2375
131,0.15969999
132,0.2592
133,0.0589
134,0.1261
135,0.2192
136,0.3354
137,0.26819998
138,0.0925
139,0.32729998
140,0.2536
141,0.083
142,0.2932
143,0.1061
144,0.14899999
145,0.3178
146,0.1313
147,0.090399995
148,0.2565
149,0.3232
150,0.28489998
151,0.2789
152,0.0257
153,0.1786
154,0.074999996
155,0.0802
156,0.1285
157,0.1664
158,0.104399994
159,0.31669998
160,0.14899999
161,0.3011
162,0.255
163,0.2521
164,0.3162
165,0.3493
166,0.2478
167,0.2662
168,0.24569999
169,0.39119998
170,0.2553
171,0.16139999
172,0.2012
173,0.3712
174,0.22469999
175,0.1715
176,0.124199994
177,0.0618
178,0.2838
179,0.047799997
180,0.1885
181,0.1978
182,0.116299994
183,0.0945
184,0.2463
185,0.13599999
186,0.0696
187,0.20699999
188,0.1944
189,0.119899996
190,0.0765
191,0.1665
192,0.1595
193,0.4224
194,0.1767
195,0.14459999
196,0.3121
197,0.3023
198,0.2611
199,0.24059999
200,0.1374
201,0.122899994
202,0.28489998
203,0.175
204,0.121999994
205,0.14109999
206,0.16759999
207,0.30969998
208,0.3436
209,0.2184
210,0.2879
211,0.1158
212,0.1174
213,0.1874
214,0.3083
215,0.3177
216,0.2696
217,0.14739999
218,0.1997
219,0.1021
220,0.2853
