Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
0,0.947,./output/segnum_points_1000/success/pred_0_0.gif,./output/segnum_points_1000/success/gt_0_0.gif
1,0.989,./output/segnum_points_1000/success/pred_0_1.gif,./output/segnum_points_1000/success/gt_0_1.gif
2,0.88900006,./output/segnum_points_1000/success/pred_0_2.gif,./output/segnum_points_1000/success/gt_0_2.gif
3,0.795,./output/segnum_points_1000/success/pred_0_3.gif,./output/segnum_points_1000/success/gt_0_3.gif
4,0.74300003,./output/segnum_points_1000/success/pred_0_4.gif,./output/segnum_points_1000/success/gt_0_4.gif
5,0.95900005,./output/segnum_points_1000/success/pred_0_5.gif,./output/segnum_points_1000/success/gt_0_5.gif
6,0.98100007,./output/segnum_points_1000/success/pred_0_6.gif,./output/segnum_points_1000/success/gt_0_6.gif
7,0.98700005,./output/segnum_points_1000/success/pred_0_7.gif,./output/segnum_points_1000/success/gt_0_7.gif
8,0.9710001,./output/segnum_points_1000/success/pred_0_8.gif,./output/segnum_points_1000/success/gt_0_8.gif
9,0.66700006,./output/segnum_points_1000/success/pred_0_9.gif,./output/segnum_points_1000/success/gt_0_9.gif
10,0.80600005,./output/segnum_points_1000/success/pred_0_10.gif,./output/segnum_points_1000/success/gt_0_10.gif
11,0.91,./output/segnum_points_1000/success/pred_0_11.gif,./output/segnum_points_1000/success/gt_0_11.gif
12,0.892,./output/segnum_points_1000/success/pred_0_12.gif,./output/segnum_points_1000/success/gt_0_12.gif
13,0.855,./output/segnum_points_1000/success/pred_0_13.gif,./output/segnum_points_1000/success/gt_0_13.gif
14,0.90000004,./output/segnum_points_1000/success/pred_0_14.gif,./output/segnum_points_1000/success/gt_0_14.gif
15,0.901,./output/segnum_points_1000/success/pred_0_15.gif,./output/segnum_points_1000/success/gt_0_15.gif
16,0.89100003,./output/segnum_points_1000/success/pred_0_16.gif,./output/segnum_points_1000/success/gt_0_16.gif
17,0.94500005,./output/segnum_points_1000/success/pred_0_17.gif,./output/segnum_points_1000/success/gt_0_17.gif
18,0.97200006,./output/segnum_points_1000/success/pred_0_18.gif,./output/segnum_points_1000/success/gt_0_18.gif
19,0.933,./output/segnum_points_1000/success/pred_0_19.gif,./output/segnum_points_1000/success/gt_0_19.gif
20,0.984,./output/segnum_points_1000/success/pred_0_20.gif,./output/segnum_points_1000/success/gt_0_20.gif
21,0.96500003,./output/segnum_points_1000/success/pred_0_21.gif,./output/segnum_points_1000/success/gt_0_21.gif
22,0.86800003,./output/segnum_points_1000/success/pred_0_22.gif,./output/segnum_points_1000/success/gt_0_22.gif
23,0.966,./output/segnum_points_1000/success/pred_0_23.gif,./output/segnum_points_1000/success/gt_0_23.gif
24,0.83300006,./output/segnum_points_1000/success/pred_0_24.gif,./output/segnum_points_1000/success/gt_0_24.gif
25,0.94600004,./output/segnum_points_1000/success/pred_0_25.gif,./output/segnum_points_1000/success/gt_0_25.gif
26,0.544,./output/segnum_points_1000/success/pred_0_26.gif,./output/segnum_points_1000/success/gt_0_26.gif
27,0.9760001,./output/segnum_points_1000/success/pred_0_27.gif,./output/segnum_points_1000/success/gt_0_27.gif
28,0.98800004,./output/segnum_points_1000/success/pred_0_28.gif,./output/segnum_points_1000/success/gt_0_28.gif
29,0.85300004,./output/segnum_points_1000/success/pred_0_29.gif,./output/segnum_points_1000/success/gt_0_29.gif
30,0.966,./output/segnum_points_1000/success/pred_0_30.gif,./output/segnum_points_1000/success/gt_0_30.gif
31,0.87100005,./output/segnum_points_1000/success/pred_0_31.gif,./output/segnum_points_1000/success/gt_0_31.gif
32,0.65900004,./output/segnum_points_1000/success/pred_1_0.gif,./output/segnum_points_1000/success/gt_1_0.gif
33,0.91300005,./output/segnum_points_1000/success/pred_1_1.gif,./output/segnum_points_1000/success/gt_1_1.gif
34,0.96000004,./output/segnum_points_1000/success/pred_1_2.gif,./output/segnum_points_1000/success/gt_1_2.gif
35,0.92600006,./output/segnum_points_1000/success/pred_1_3.gif,./output/segnum_points_1000/success/gt_1_3.gif
36,0.887,./output/segnum_points_1000/success/pred_1_4.gif,./output/segnum_points_1000/success/gt_1_4.gif
37,0.94000006,./output/segnum_points_1000/success/pred_1_5.gif,./output/segnum_points_1000/success/gt_1_5.gif
38,0.94200003,./output/segnum_points_1000/success/pred_1_6.gif,./output/segnum_points_1000/success/gt_1_6.gif
39,0.98,./output/segnum_points_1000/success/pred_1_7.gif,./output/segnum_points_1000/success/gt_1_7.gif
40,0.91800004,./output/segnum_points_1000/success/pred_1_8.gif,./output/segnum_points_1000/success/gt_1_8.gif
41,0.623,./output/segnum_points_1000/success/pred_1_9.gif,./output/segnum_points_1000/success/gt_1_9.gif
42,0.47500002,./output/segnum_points_1000/fail/pred_1_10.gif,./output/segnum_points_1000/fail/gt_1_10.gif
43,0.80300003,./output/segnum_points_1000/success/pred_1_11.gif,./output/segnum_points_1000/success/gt_1_11.gif
44,0.95900005,./output/segnum_points_1000/success/pred_1_12.gif,./output/segnum_points_1000/success/gt_1_12.gif
45,0.777,./output/segnum_points_1000/success/pred_1_13.gif,./output/segnum_points_1000/success/gt_1_13.gif
46,0.97700006,./output/segnum_points_1000/success/pred_1_14.gif,./output/segnum_points_1000/success/gt_1_14.gif
47,0.947,./output/segnum_points_1000/success/pred_1_15.gif,./output/segnum_points_1000/success/gt_1_15.gif
48,0.994,./output/segnum_points_1000/success/pred_1_16.gif,./output/segnum_points_1000/success/gt_1_16.gif
49,0.87900007,./output/segnum_points_1000/success/pred_1_17.gif,./output/segnum_points_1000/success/gt_1_17.gif
50,0.92700005,./output/segnum_points_1000/success/pred_1_18.gif,./output/segnum_points_1000/success/gt_1_18.gif
51,0.901,./output/segnum_points_1000/success/pred_1_19.gif,./output/segnum_points_1000/success/gt_1_19.gif
52,0.91400003,./output/segnum_points_1000/success/pred_1_20.gif,./output/segnum_points_1000/success/gt_1_20.gif
53,0.91700006,./output/segnum_points_1000/success/pred_1_21.gif,./output/segnum_points_1000/success/gt_1_21.gif
54,0.83000004,./output/segnum_points_1000/success/pred_1_22.gif,./output/segnum_points_1000/success/gt_1_22.gif
55,0.92,./output/segnum_points_1000/success/pred_1_23.gif,./output/segnum_points_1000/success/gt_1_23.gif
56,0.96700007,./output/segnum_points_1000/success/pred_1_24.gif,./output/segnum_points_1000/success/gt_1_24.gif
57,0.975,./output/segnum_points_1000/success/pred_1_25.gif,./output/segnum_points_1000/success/gt_1_25.gif
58,0.874,./output/segnum_points_1000/success/pred_1_26.gif,./output/segnum_points_1000/success/gt_1_26.gif
59,0.88500005,./output/segnum_points_1000/success/pred_1_27.gif,./output/segnum_points_1000/success/gt_1_27.gif
60,0.823,./output/segnum_points_1000/success/pred_1_28.gif,./output/segnum_points_1000/success/gt_1_28.gif
61,0.634,./output/segnum_points_1000/success/pred_1_29.gif,./output/segnum_points_1000/success/gt_1_29.gif
62,0.97300005,./output/segnum_points_1000/success/pred_1_30.gif,./output/segnum_points_1000/success/gt_1_30.gif
63,0.98300004,./output/segnum_points_1000/success/pred_1_31.gif,./output/segnum_points_1000/success/gt_1_31.gif
64,0.87600005,./output/segnum_points_1000/success/pred_2_0.gif,./output/segnum_points_1000/success/gt_2_0.gif
65,0.96300006,./output/segnum_points_1000/success/pred_2_1.gif,./output/segnum_points_1000/success/gt_2_1.gif
66,0.934,./output/segnum_points_1000/success/pred_2_2.gif,./output/segnum_points_1000/success/gt_2_2.gif
67,0.95300007,./output/segnum_points_1000/success/pred_2_3.gif,./output/segnum_points_1000/success/gt_2_3.gif
68,0.74700004,./output/segnum_points_1000/success/pred_2_4.gif,./output/segnum_points_1000/success/gt_2_4.gif
69,0.92,./output/segnum_points_1000/success/pred_2_5.gif,./output/segnum_points_1000/success/gt_2_5.gif
70,0.966,./output/segnum_points_1000/success/pred_2_6.gif,./output/segnum_points_1000/success/gt_2_6.gif
71,0.87600005,./output/segnum_points_1000/success/pred_2_7.gif,./output/segnum_points_1000/success/gt_2_7.gif
72,0.82600003,./output/segnum_points_1000/success/pred_2_8.gif,./output/segnum_points_1000/success/gt_2_8.gif
73,0.9250001,./output/segnum_points_1000/success/pred_2_9.gif,./output/segnum_points_1000/success/gt_2_9.gif
74,0.91600007,./output/segnum_points_1000/success/pred_2_10.gif,./output/segnum_points_1000/success/gt_2_10.gif
75,0.869,./output/segnum_points_1000/success/pred_2_11.gif,./output/segnum_points_1000/success/gt_2_11.gif
76,0.95600003,./output/segnum_points_1000/success/pred_2_12.gif,./output/segnum_points_1000/success/gt_2_12.gif
77,0.92600006,./output/segnum_points_1000/success/pred_2_13.gif,./output/segnum_points_1000/success/gt_2_13.gif
78,0.86800003,./output/segnum_points_1000/success/pred_2_14.gif,./output/segnum_points_1000/success/gt_2_14.gif
79,0.89100003,./output/segnum_points_1000/success/pred_2_15.gif,./output/segnum_points_1000/success/gt_2_15.gif
80,0.80100006,./output/segnum_points_1000/success/pred_2_16.gif,./output/segnum_points_1000/success/gt_2_16.gif
81,0.89000005,./output/segnum_points_1000/success/pred_2_17.gif,./output/segnum_points_1000/success/gt_2_17.gif
82,0.873,./output/segnum_points_1000/success/pred_2_18.gif,./output/segnum_points_1000/success/gt_2_18.gif
83,0.97300005,./output/segnum_points_1000/success/pred_2_19.gif,./output/segnum_points_1000/success/gt_2_19.gif
84,0.86500007,./output/segnum_points_1000/success/pred_2_20.gif,./output/segnum_points_1000/success/gt_2_20.gif
85,0.68100005,./output/segnum_points_1000/success/pred_2_21.gif,./output/segnum_points_1000/success/gt_2_21.gif
86,0.966,./output/segnum_points_1000/success/pred_2_22.gif,./output/segnum_points_1000/success/gt_2_22.gif
87,0.95900005,./output/segnum_points_1000/success/pred_2_23.gif,./output/segnum_points_1000/success/gt_2_23.gif
88,0.87900007,./output/segnum_points_1000/success/pred_2_24.gif,./output/segnum_points_1000/success/gt_2_24.gif
89,0.933,./output/segnum_points_1000/success/pred_2_25.gif,./output/segnum_points_1000/success/gt_2_25.gif
90,0.632,./output/segnum_points_1000/success/pred_2_26.gif,./output/segnum_points_1000/success/gt_2_26.gif
91,0.95400006,./output/segnum_points_1000/success/pred_2_27.gif,./output/segnum_points_1000/success/gt_2_27.gif
92,0.961,./output/segnum_points_1000/success/pred_2_28.gif,./output/segnum_points_1000/success/gt_2_28.gif
93,0.92100006,./output/segnum_points_1000/success/pred_2_29.gif,./output/segnum_points_1000/success/gt_2_29.gif
94,0.9480001,./output/segnum_points_1000/success/pred_2_30.gif,./output/segnum_points_1000/success/gt_2_30.gif
95,0.71500003,./output/segnum_points_1000/success/pred_2_31.gif,./output/segnum_points_1000/success/gt_2_31.gif
96,0.583,./output/segnum_points_1000/success/pred_3_0.gif,./output/segnum_points_1000/success/gt_3_0.gif
97,0.63900006,./output/segnum_points_1000/success/pred_3_1.gif,./output/segnum_points_1000/success/gt_3_1.gif
98,0.96000004,./output/segnum_points_1000/success/pred_3_2.gif,./output/segnum_points_1000/success/gt_3_2.gif
99,0.96300006,./output/segnum_points_1000/success/pred_3_3.gif,./output/segnum_points_1000/success/gt_3_3.gif
100,0.95400006,./output/segnum_points_1000/success/pred_3_4.gif,./output/segnum_points_1000/success/gt_3_4.gif
101,0.96000004,./output/segnum_points_1000/success/pred_3_5.gif,./output/segnum_points_1000/success/gt_3_5.gif
102,0.94900006,./output/segnum_points_1000/success/pred_3_6.gif,./output/segnum_points_1000/success/gt_3_6.gif
103,0.901,./output/segnum_points_1000/success/pred_3_7.gif,./output/segnum_points_1000/success/gt_3_7.gif
104,0.841,./output/segnum_points_1000/success/pred_3_8.gif,./output/segnum_points_1000/success/gt_3_8.gif
105,0.87000006,./output/segnum_points_1000/success/pred_3_9.gif,./output/segnum_points_1000/success/gt_3_9.gif
106,0.94400007,./output/segnum_points_1000/success/pred_3_10.gif,./output/segnum_points_1000/success/gt_3_10.gif
107,0.93600005,./output/segnum_points_1000/success/pred_3_11.gif,./output/segnum_points_1000/success/gt_3_11.gif
108,0.9620001,./output/segnum_points_1000/success/pred_3_12.gif,./output/segnum_points_1000/success/gt_3_12.gif
109,0.82500005,./output/segnum_points_1000/success/pred_3_13.gif,./output/segnum_points_1000/success/gt_3_13.gif
110,0.952,./output/segnum_points_1000/success/pred_3_14.gif,./output/segnum_points_1000/success/gt_3_14.gif
111,0.92300004,./output/segnum_points_1000/success/pred_3_15.gif,./output/segnum_points_1000/success/gt_3_15.gif
112,0.846,./output/segnum_points_1000/success/pred_3_16.gif,./output/segnum_points_1000/success/gt_3_16.gif
113,0.98200005,./output/segnum_points_1000/success/pred_3_17.gif,./output/segnum_points_1000/success/gt_3_17.gif
114,0.76400006,./output/segnum_points_1000/success/pred_3_18.gif,./output/segnum_points_1000/success/gt_3_18.gif
115,0.98300004,./output/segnum_points_1000/success/pred_3_19.gif,./output/segnum_points_1000/success/gt_3_19.gif
116,0.693,./output/segnum_points_1000/success/pred_3_20.gif,./output/segnum_points_1000/success/gt_3_20.gif
117,0.94600004,./output/segnum_points_1000/success/pred_3_21.gif,./output/segnum_points_1000/success/gt_3_21.gif
118,0.947,./output/segnum_points_1000/success/pred_3_22.gif,./output/segnum_points_1000/success/gt_3_22.gif
119,0.864,./output/segnum_points_1000/success/pred_3_23.gif,./output/segnum_points_1000/success/gt_3_23.gif
120,0.97,./output/segnum_points_1000/success/pred_3_24.gif,./output/segnum_points_1000/success/gt_3_24.gif
121,0.89000005,./output/segnum_points_1000/success/pred_3_25.gif,./output/segnum_points_1000/success/gt_3_25.gif
122,0.95500004,./output/segnum_points_1000/success/pred_3_26.gif,./output/segnum_points_1000/success/gt_3_26.gif
123,0.90000004,./output/segnum_points_1000/success/pred_3_27.gif,./output/segnum_points_1000/success/gt_3_27.gif
124,0.735,./output/segnum_points_1000/success/pred_3_28.gif,./output/segnum_points_1000/success/gt_3_28.gif
125,0.966,./output/segnum_points_1000/success/pred_3_29.gif,./output/segnum_points_1000/success/gt_3_29.gif
126,0.96800005,./output/segnum_points_1000/success/pred_3_30.gif,./output/segnum_points_1000/success/gt_3_30.gif
127,0.93500006,./output/segnum_points_1000/success/pred_3_31.gif,./output/segnum_points_1000/success/gt_3_31.gif
128,0.90200007,./output/segnum_points_1000/success/pred_4_0.gif,./output/segnum_points_1000/success/gt_4_0.gif
129,0.94400007,./output/segnum_points_1000/success/pred_4_1.gif,./output/segnum_points_1000/success/gt_4_1.gif
130,0.95900005,./output/segnum_points_1000/success/pred_4_2.gif,./output/segnum_points_1000/success/gt_4_2.gif
131,0.966,./output/segnum_points_1000/success/pred_4_3.gif,./output/segnum_points_1000/success/gt_4_3.gif
132,0.597,./output/segnum_points_1000/success/pred_4_4.gif,./output/segnum_points_1000/success/gt_4_4.gif
133,0.98700005,./output/segnum_points_1000/success/pred_4_5.gif,./output/segnum_points_1000/success/gt_4_5.gif
134,0.79300004,./output/segnum_points_1000/success/pred_4_6.gif,./output/segnum_points_1000/success/gt_4_6.gif
135,0.80700004,./output/segnum_points_1000/success/pred_4_7.gif,./output/segnum_points_1000/success/gt_4_7.gif
136,0.919,./output/segnum_points_1000/success/pred_4_8.gif,./output/segnum_points_1000/success/gt_4_8.gif
137,0.966,./output/segnum_points_1000/success/pred_4_9.gif,./output/segnum_points_1000/success/gt_4_9.gif
138,0.97200006,./output/segnum_points_1000/success/pred_4_10.gif,./output/segnum_points_1000/success/gt_4_10.gif
139,0.87100005,./output/segnum_points_1000/success/pred_4_11.gif,./output/segnum_points_1000/success/gt_4_11.gif
140,0.89500004,./output/segnum_points_1000/success/pred_4_12.gif,./output/segnum_points_1000/success/gt_4_12.gif
141,0.98700005,./output/segnum_points_1000/success/pred_4_13.gif,./output/segnum_points_1000/success/gt_4_13.gif
142,0.568,./output/segnum_points_1000/success/pred_4_14.gif,./output/segnum_points_1000/success/gt_4_14.gif
143,0.88000005,./output/segnum_points_1000/success/pred_4_15.gif,./output/segnum_points_1000/success/gt_4_15.gif
144,0.873,./output/segnum_points_1000/success/pred_4_16.gif,./output/segnum_points_1000/success/gt_4_16.gif
145,0.94500005,./output/segnum_points_1000/success/pred_4_17.gif,./output/segnum_points_1000/success/gt_4_17.gif
146,0.90000004,./output/segnum_points_1000/success/pred_4_18.gif,./output/segnum_points_1000/success/gt_4_18.gif
147,0.93100005,./output/segnum_points_1000/success/pred_4_19.gif,./output/segnum_points_1000/success/gt_4_19.gif
148,0.97700006,./output/segnum_points_1000/success/pred_4_20.gif,./output/segnum_points_1000/success/gt_4_20.gif
149,0.84300005,./output/segnum_points_1000/success/pred_4_21.gif,./output/segnum_points_1000/success/gt_4_21.gif
150,0.975,./output/segnum_points_1000/success/pred_4_22.gif,./output/segnum_points_1000/success/gt_4_22.gif
151,0.93100005,./output/segnum_points_1000/success/pred_4_23.gif,./output/segnum_points_1000/success/gt_4_23.gif
152,0.95900005,./output/segnum_points_1000/success/pred_4_24.gif,./output/segnum_points_1000/success/gt_4_24.gif
153,0.795,./output/segnum_points_1000/success/pred_4_25.gif,./output/segnum_points_1000/success/gt_4_25.gif
154,0.93200004,./output/segnum_points_1000/success/pred_4_26.gif,./output/segnum_points_1000/success/gt_4_26.gif
155,0.91600007,./output/segnum_points_1000/success/pred_4_27.gif,./output/segnum_points_1000/success/gt_4_27.gif
156,0.74700004,./output/segnum_points_1000/success/pred_4_28.gif,./output/segnum_points_1000/success/gt_4_28.gif
157,0.762,./output/segnum_points_1000/success/pred_4_29.gif,./output/segnum_points_1000/success/gt_4_29.gif
158,0.94100004,./output/segnum_points_1000/success/pred_4_30.gif,./output/segnum_points_1000/success/gt_4_30.gif
159,0.97300005,./output/segnum_points_1000/success/pred_4_31.gif,./output/segnum_points_1000/success/gt_4_31.gif
160,0.9110001,./output/segnum_points_1000/success/pred_5_0.gif,./output/segnum_points_1000/success/gt_5_0.gif
161,0.91700006,./output/segnum_points_1000/success/pred_5_1.gif,./output/segnum_points_1000/success/gt_5_1.gif
162,0.99500006,./output/segnum_points_1000/success/pred_5_2.gif,./output/segnum_points_1000/success/gt_5_2.gif
163,0.595,./output/segnum_points_1000/success/pred_5_3.gif,./output/segnum_points_1000/success/gt_5_3.gif
164,0.757,./output/segnum_points_1000/success/pred_5_4.gif,./output/segnum_points_1000/success/gt_5_4.gif
165,0.80100006,./output/segnum_points_1000/success/pred_5_5.gif,./output/segnum_points_1000/success/gt_5_5.gif
166,0.97200006,./output/segnum_points_1000/success/pred_5_6.gif,./output/segnum_points_1000/success/gt_5_6.gif
167,0.96400005,./output/segnum_points_1000/success/pred_5_7.gif,./output/segnum_points_1000/success/gt_5_7.gif
168,0.633,./output/segnum_points_1000/success/pred_5_8.gif,./output/segnum_points_1000/success/gt_5_8.gif
169,0.92100006,./output/segnum_points_1000/success/pred_5_9.gif,./output/segnum_points_1000/success/gt_5_9.gif
170,0.92,./output/segnum_points_1000/success/pred_5_10.gif,./output/segnum_points_1000/success/gt_5_10.gif
171,0.88400006,./output/segnum_points_1000/success/pred_5_11.gif,./output/segnum_points_1000/success/gt_5_11.gif
172,0.9710001,./output/segnum_points_1000/success/pred_5_12.gif,./output/segnum_points_1000/success/gt_5_12.gif
173,0.94200003,./output/segnum_points_1000/success/pred_5_13.gif,./output/segnum_points_1000/success/gt_5_13.gif
174,0.76500005,./output/segnum_points_1000/success/pred_5_14.gif,./output/segnum_points_1000/success/gt_5_14.gif
175,0.75900006,./output/segnum_points_1000/success/pred_5_15.gif,./output/segnum_points_1000/success/gt_5_15.gif
176,0.95100003,./output/segnum_points_1000/success/pred_5_16.gif,./output/segnum_points_1000/success/gt_5_16.gif
177,0.93000007,./output/segnum_points_1000/success/pred_5_17.gif,./output/segnum_points_1000/success/gt_5_17.gif
178,0.71400005,./output/segnum_points_1000/success/pred_5_18.gif,./output/segnum_points_1000/success/gt_5_18.gif
179,0.97900003,./output/segnum_points_1000/success/pred_5_19.gif,./output/segnum_points_1000/success/gt_5_19.gif
180,0.768,./output/segnum_points_1000/success/pred_5_20.gif,./output/segnum_points_1000/success/gt_5_20.gif
181,0.88400006,./output/segnum_points_1000/success/pred_5_21.gif,./output/segnum_points_1000/success/gt_5_21.gif
182,0.94200003,./output/segnum_points_1000/success/pred_5_22.gif,./output/segnum_points_1000/success/gt_5_22.gif
183,0.98,./output/segnum_points_1000/success/pred_5_23.gif,./output/segnum_points_1000/success/gt_5_23.gif
184,0.98100007,./output/segnum_points_1000/success/pred_5_24.gif,./output/segnum_points_1000/success/gt_5_24.gif
185,0.95600003,./output/segnum_points_1000/success/pred_5_25.gif,./output/segnum_points_1000/success/gt_5_25.gif
186,0.95000005,./output/segnum_points_1000/success/pred_5_26.gif,./output/segnum_points_1000/success/gt_5_26.gif
187,0.95400006,./output/segnum_points_1000/success/pred_5_27.gif,./output/segnum_points_1000/success/gt_5_27.gif
188,0.966,./output/segnum_points_1000/success/pred_5_28.gif,./output/segnum_points_1000/success/gt_5_28.gif
189,0.984,./output/segnum_points_1000/success/pred_5_29.gif,./output/segnum_points_1000/success/gt_5_29.gif
190,0.86800003,./output/segnum_points_1000/success/pred_5_30.gif,./output/segnum_points_1000/success/gt_5_30.gif
191,0.96500003,./output/segnum_points_1000/success/pred_5_31.gif,./output/segnum_points_1000/success/gt_5_31.gif
192,0.93200004,./output/segnum_points_1000/success/pred_6_0.gif,./output/segnum_points_1000/success/gt_6_0.gif
193,0.85700005,./output/segnum_points_1000/success/pred_6_1.gif,./output/segnum_points_1000/success/gt_6_1.gif
194,0.94500005,./output/segnum_points_1000/success/pred_6_2.gif,./output/segnum_points_1000/success/gt_6_2.gif
195,0.98200005,./output/segnum_points_1000/success/pred_6_3.gif,./output/segnum_points_1000/success/gt_6_3.gif
196,0.86100006,./output/segnum_points_1000/success/pred_6_4.gif,./output/segnum_points_1000/success/gt_6_4.gif
197,0.966,./output/segnum_points_1000/success/pred_6_5.gif,./output/segnum_points_1000/success/gt_6_5.gif
198,0.88500005,./output/segnum_points_1000/success/pred_6_6.gif,./output/segnum_points_1000/success/gt_6_6.gif
199,0.906,./output/segnum_points_1000/success/pred_6_7.gif,./output/segnum_points_1000/success/gt_6_7.gif
200,0.69200003,./output/segnum_points_1000/success/pred_6_8.gif,./output/segnum_points_1000/success/gt_6_8.gif
201,0.97300005,./output/segnum_points_1000/success/pred_6_9.gif,./output/segnum_points_1000/success/gt_6_9.gif
202,0.882,./output/segnum_points_1000/success/pred_6_10.gif,./output/segnum_points_1000/success/gt_6_10.gif
203,0.93500006,./output/segnum_points_1000/success/pred_6_11.gif,./output/segnum_points_1000/success/gt_6_11.gif
204,0.96800005,./output/segnum_points_1000/success/pred_6_12.gif,./output/segnum_points_1000/success/gt_6_12.gif
205,0.90200007,./output/segnum_points_1000/success/pred_6_13.gif,./output/segnum_points_1000/success/gt_6_13.gif
206,0.88900006,./output/segnum_points_1000/success/pred_6_14.gif,./output/segnum_points_1000/success/gt_6_14.gif
207,0.97700006,./output/segnum_points_1000/success/pred_6_15.gif,./output/segnum_points_1000/success/gt_6_15.gif
208,0.93500006,./output/segnum_points_1000/success/pred_6_16.gif,./output/segnum_points_1000/success/gt_6_16.gif
209,0.9620001,./output/segnum_points_1000/success/pred_6_17.gif,./output/segnum_points_1000/success/gt_6_17.gif
210,0.882,./output/segnum_points_1000/success/pred_6_18.gif,./output/segnum_points_1000/success/gt_6_18.gif
211,0.87100005,./output/segnum_points_1000/success/pred_6_19.gif,./output/segnum_points_1000/success/gt_6_19.gif
212,0.92300004,./output/segnum_points_1000/success/pred_6_20.gif,./output/segnum_points_1000/success/gt_6_20.gif
213,0.89500004,./output/segnum_points_1000/success/pred_6_21.gif,./output/segnum_points_1000/success/gt_6_21.gif
214,0.633,./output/segnum_points_1000/success/pred_6_22.gif,./output/segnum_points_1000/success/gt_6_22.gif
215,0.99100006,./output/segnum_points_1000/success/pred_6_23.gif,./output/segnum_points_1000/success/gt_6_23.gif
216,0.97900003,./output/segnum_points_1000/success/pred_6_24.gif,./output/segnum_points_1000/success/gt_6_24.gif
217,0.785,./output/segnum_points_1000/success/pred_6_25.gif,./output/segnum_points_1000/success/gt_6_25.gif
218,0.841,./output/segnum_points_1000/success/pred_6_26.gif,./output/segnum_points_1000/success/gt_6_26.gif
219,0.95600003,./output/segnum_points_1000/success/pred_6_27.gif,./output/segnum_points_1000/success/gt_6_27.gif
220,0.96500003,./output/segnum_points_1000/success/pred_6_28.gif,./output/segnum_points_1000/success/gt_6_28.gif
221,0.90400004,./output/segnum_points_1000/success/pred_6_29.gif,./output/segnum_points_1000/success/gt_6_29.gif
222,0.9620001,./output/segnum_points_1000/success/pred_6_30.gif,./output/segnum_points_1000/success/gt_6_30.gif
223,0.874,./output/segnum_points_1000/success/pred_6_31.gif,./output/segnum_points_1000/success/gt_6_31.gif
224,0.9620001,./output/segnum_points_1000/success/pred_7_0.gif,./output/segnum_points_1000/success/gt_7_0.gif
225,0.708,./output/segnum_points_1000/success/pred_7_1.gif,./output/segnum_points_1000/success/gt_7_1.gif
226,0.79200006,./output/segnum_points_1000/success/pred_7_2.gif,./output/segnum_points_1000/success/gt_7_2.gif
227,0.87200004,./output/segnum_points_1000/success/pred_7_3.gif,./output/segnum_points_1000/success/gt_7_3.gif
228,0.89900005,./output/segnum_points_1000/success/pred_7_4.gif,./output/segnum_points_1000/success/gt_7_4.gif
229,0.947,./output/segnum_points_1000/success/pred_7_5.gif,./output/segnum_points_1000/success/gt_7_5.gif
230,0.96700007,./output/segnum_points_1000/success/pred_7_6.gif,./output/segnum_points_1000/success/gt_7_6.gif
231,0.95500004,./output/segnum_points_1000/success/pred_7_7.gif,./output/segnum_points_1000/success/gt_7_7.gif
