Object Index,Accuracy
0,0.9406
1,0.98279995
2,0.90959996
3,0.8329
4,0.7065
5,0.9568
6,0.98499995
7,0.95729995
8,0.98649997
9,0.6842
10,0.796
11,0.912
12,0.90239996
13,0.85069996
14,0.9011
15,0.9109
16,0.9097
17,0.95199996
18,0.97029996
19,0.93979996
20,0.9834
21,0.9647
22,0.7989
23,0.9727
24,0.8185
25,0.949
26,0.522
27,0.9777
28,0.9856
29,0.7887
30,0.9654
31,0.8975
32,0.8244
33,0.91899997
34,0.96169996
35,0.9332
36,0.89059997
37,0.96919996
38,0.9357
39,0.9783
40,0.9579
41,0.811
42,0.9855
43,0.8328
44,0.965
45,0.90779996
46,0.9756
47,0.95879996
48,0.991
49,0.9037
50,0.9152
51,0.7855
52,0.9138
53,0.9228
54,0.82379997
55,0.9219
56,0.96419996
57,0.9874
58,0.8649
59,0.89599997
60,0.7902
61,0.6035
62,0.9711
63,0.9855
64,0.9115
65,0.9672
66,0.95119995
67,0.9381
68,0.7371
69,0.926
70,0.97639996
71,0.8652
72,0.8796
73,0.93509996
74,0.8944
75,0.8544
76,0.94259995
77,0.9213
78,0.84599996
79,0.87649995
80,0.85069996
81,0.9184
82,0.8864
83,0.9709
84,0.89669997
85,0.7184
86,0.9704
87,0.9551
88,0.86969995
89,0.96999997
90,0.6917
91,0.9695
92,0.95489997
93,0.88629997
94,0.9694
95,0.737
96,0.56009996
97,0.6222
98,0.96519995
99,0.9598
100,0.9697
101,0.94879997
102,0.98499995
103,0.89379996
104,0.77349997
105,0.7406
106,0.93899995
107,0.94079995
108,0.9522
109,0.85679996
110,0.92389995
111,0.9733
112,0.93579996
113,0.98999995
114,0.7876
115,0.9741
116,0.7107
117,0.968
118,0.9501
119,0.8699
120,0.96709996
121,0.9111
122,0.96699995
123,0.93289995
124,0.7062
125,0.9662
126,0.9772
127,0.9479
128,0.90959996
129,0.964
130,0.95299995
131,0.9632
132,0.76559997
133,0.9754
134,0.866
135,0.84
136,0.9108
137,0.96489996
138,0.9633
139,0.8831
140,0.854
141,0.9844
142,0.573
143,0.8796
144,0.8588
145,0.95629996
146,0.9122
147,0.9353
148,0.9763
149,0.8303
150,0.9788
151,0.93509996
152,0.93659997
153,0.7418
154,0.9402
155,0.8991
156,0.8168
157,0.8032
158,0.9335
159,0.9813
160,0.922
161,0.9633
162,0.98209995
163,0.6328
164,0.83669996
165,0.84
166,0.9752
167,0.96239996
