Object Index,Accuracy
0,0.4001
1,0.2918
2,0.213
3,0.3978
4,0.525
5,0.3513
6,0.3563
7,0.5859
8,0.6028
9,0.1786
10,0.3579
11,0.5976
12,0.0545
13,0.2298
14,0.53249997
15,0.3955
16,0.4082
17,0.45069999
18,0.5247
19,0.5001
20,0.29279998
21,0.659
22,0.53569996
23,0.45409998
24,0.6698
25,0.2976
26,0.3003
27,0.5913
28,0.5392
29,0.1542
30,0.3538
31,0.578
32,0.4184
33,0.2501
34,0.44939998
35,0.3423
36,0.18599999
37,0.5925
38,0.2949
39,0.7071
40,0.3789
41,0.30679998
42,0.282
43,0.4186
44,0.3541
45,0.47
46,0.4104
47,0.36499998
48,0.4457
49,0.2546
50,0.4669
51,0.1432
52,0.41959998
53,0.47169998
54,0.2504
55,0.2481
56,0.4224
57,0.5283
58,0.0999
59,0.40219998
60,0.1673
61,0.23959999
62,0.501
63,0.2652
64,0.4727
65,0.4604
66,0.4155
67,0.22109999
68,0.2771
69,0.46109998
70,0.48999998
71,0.4739
72,0.4219
73,0.304
74,0.375
75,0.355
76,0.4094
77,0.137
78,0.55869997
79,0.1847
80,0.2712
81,0.46649998
82,0.3038
83,0.4974
84,0.50159997
85,0.5226
86,0.3804
87,0.46289998
88,0.3626
89,0.5022
90,0.5509
91,0.5827
92,0.2514
93,0.2042
94,0.3716
95,0.1936
96,0.1973
97,0.6299
98,0.45029998
99,0.2321
100,0.3897
101,0.56119996
102,0.5897
103,0.5396
104,0.5018
105,0.2631
106,0.4326
107,0.4739
108,0.5164
109,0.3775
110,0.2776
111,0.24069999
112,0.2676
113,0.40629998
114,0.47399998
115,0.2556
116,0.22929999
117,0.6076
118,0.5965
119,0.5643
120,0.4543
121,0.33429998
122,0.1933
123,0.3091
124,0.33499998
125,0.4526
126,0.46339998
127,0.2932
128,0.23189999
129,0.44959998
130,0.3931
131,0.5089
132,0.5352
133,0.3951
134,0.5169
135,0.7564
136,0.21419999
137,0.3267
138,0.5305
139,0.1361
140,0.45819998
141,0.5007
142,0.0358
143,0.363
144,0.044499997
145,0.31759998
146,0.355
147,0.5402
148,0.32799998
149,0.2579
150,0.30249998
151,0.44399998
152,0.3505
153,0.1683
154,0.19919999
155,0.3044
156,0.3276
157,0.5086
158,0.4872
159,0.40019998
160,0.1182
161,0.41669998
162,0.385
163,0.1321
164,0.4157
165,0.3468
166,0.3737
167,0.515
168,0.498
169,0.4111
170,0.1715
171,0.40199998
172,0.17889999
173,0.57699996
174,0.1301
175,0.2539
176,0.5171
177,0.37629998
178,0.7018
179,0.3322
180,0.19219999
181,0.2726
182,0.506
183,0.5862
184,0.44039997
185,0.51089996
186,0.4522
187,0.5409
188,0.47469997
189,0.5046
190,0.2717
191,0.3929
192,0.1038
193,0.1946
194,0.5478
195,0.4799
196,0.3347
197,0.48839998
198,0.369
199,0.29979998
200,0.26299998
201,0.53139997
202,0.31939998
203,0.0592
204,0.6696
205,0.2227
206,0.24419999
207,0.6361
208,0.3127
209,0.3139
210,0.4123
211,0.1933
212,0.2668
213,0.6633
214,0.2471
215,0.5694
216,0.2573
217,0.2215
218,0.2376
219,0.56299996
220,0.5118
221,0.2748
222,0.3883
223,0.473
224,0.56839997
225,0.13589999
226,0.50049996
227,0.7837
228,0.38259998
229,0.3854
230,0.5826
231,0.3795
232,0.35709998
233,0.1162
234,0.3477
235,0.22569999
236,0.4048
237,0.4414
238,0.2087
239,0.3575
240,0.42049998
241,0.3602
242,0.3789
243,0.3911
244,0.4854
245,0.6189
246,0.4543
247,0.5906
248,0.3346
249,0.5193
250,0.49139997
251,0.3963
252,0.3102
253,0.5531
254,0.449
255,0.101399995
256,0.42729998
257,0.4457
