Object Index,Accuracy
0,0.5459
1,0.37489998
2,0.49269998
3,0.47869998
4,0.3629
5,0.6642
6,0.2564
7,0.766
8,0.5136
9,0.3656
10,0.475
11,0.52739996
12,0.6051
13,0.4107
14,0.692
15,0.2916
16,0.6838
17,0.5155
18,0.56799996
19,0.4067
20,0.5413
21,0.5452
22,0.5268
23,0.5473
24,0.6095
25,0.5977
26,0.47239998
27,0.56
28,0.4161
29,0.5843
30,0.4191
31,0.3746
32,0.364
33,0.6206
34,0.7334
35,0.5355
36,0.5268
37,0.5494
38,0.5984
39,0.6155
40,0.5604
41,0.3715
42,0.2994
43,0.46019998
44,0.73859996
45,0.5834
46,0.4019
47,0.63089997
48,0.52129996
49,0.56079996
50,0.6161
51,0.64269996
52,0.53099996
53,0.4414
54,0.4732
55,0.4425
56,0.44079998
57,0.6141
58,0.4211
59,0.5198
60,0.5516
61,0.47039998
62,0.5607
63,0.5359
64,0.6356
65,0.4414
66,0.26229998
67,0.5877
68,0.575
69,0.70739996
70,0.5724
71,0.4978
72,0.2511
73,0.62909997
74,0.5014
75,0.3947
76,0.6764
77,0.54289997
78,0.7226
79,0.4159
80,0.5564
81,0.5471
82,0.6579
83,0.5787
84,0.5377
85,0.50879997
86,0.6714
87,0.5164
88,0.22549999
89,0.67579997
90,0.44689998
91,0.3182
92,0.5749
93,0.6067
94,0.72929996
95,0.43339998
96,0.3663
97,0.4265
98,0.617
99,0.7186
100,0.48709998
101,0.6545
102,0.6802
103,0.6497
104,0.4544
105,0.47289997
106,0.4649
107,0.6943
108,0.6556
109,0.57049996
110,0.6742
111,0.1382
112,0.3714
113,0.3099
114,0.4016
115,0.73289996
116,0.35189998
117,0.56299996
118,0.58629996
119,0.55
120,0.6932
121,0.655
122,0.5671
123,0.5995
124,0.56769997
125,0.7212
126,0.5668
127,0.5338
128,0.6419
129,0.51879996
130,0.37759998
131,0.5503
132,0.5588
133,0.5255
134,0.7193
135,0.5597
136,0.4486
137,0.47709998
138,0.4324
139,0.5525
140,0.5384
141,0.4755
142,0.40019998
143,0.49809998
144,0.55869997
145,0.5764
146,0.5861
147,0.6166
148,0.65239996
149,0.37809998
150,0.5858
151,0.51309997
152,0.5979
153,0.6155
154,0.6179
155,0.4328
156,0.5062
157,0.3983
158,0.77879995
159,0.5495
160,0.6635
161,0.2812
162,0.2737
163,0.0881
164,0.5898
165,0.4208
166,0.55439997
167,0.4976
168,0.4919
169,0.5584
170,0.61259997
171,0.613
172,0.7133
173,0.569
174,0.5397
175,0.5089
176,0.4086
177,0.63629997
178,0.4052
179,0.7542
180,0.40269998
181,0.71739995
182,0.41759998
183,0.5593
184,0.594
185,0.4543
186,0.5753
187,0.382
188,0.4078
189,0.6121
190,0.7066
191,0.3955
192,0.6996
193,0.41149998
194,0.4553
195,0.4798
196,0.67399997
197,0.5566
198,0.6105
199,0.35799998
200,0.5069
201,0.4567
202,0.4978
203,0.52169997
204,0.5446
205,0.36479998
206,0.5553
207,0.567
208,0.6066
209,0.5618
210,0.4127
211,0.69159997
212,0.44239998
213,0.6132
214,0.54359996
215,0.5748
216,0.3278
217,0.60499996
218,0.40789998
219,0.33519998
220,0.54719996
221,0.6633
222,0.40179998
223,0.71099997
224,0.569
225,0.45619997
226,0.5129
227,0.6611
228,0.58779997
229,0.5395
230,0.4797
231,0.56799996
232,0.55329996
233,0.5967
234,0.5028
235,0.2294
236,0.4265
237,0.413
238,0.2561
239,0.7333
240,0.48839998
241,0.5931
242,0.6055
243,0.51519996
244,0.6271
245,0.49589998
246,0.5633
247,0.2105
248,0.76449996
249,0.4851
250,0.5011
251,0.5006
252,0.449
253,0.6458
254,0.5761
255,0.5671
256,0.49879998
257,0.49769998
258,0.49859998
259,0.48409998
260,0.3112
261,0.5927
262,0.60649997
263,0.435
264,0.5976
265,0.3859
266,0.5185
267,0.588
268,0.51339996
269,0.3737
270,0.38439998
271,0.5412
272,0.57
273,0.5324
274,0.6428
275,0.6252
276,0.7116
277,0.5679
278,0.58849996
279,0.3976
280,0.65999997
281,0.50339997
282,0.6263
283,0.5237
284,0.6159
285,0.2618
286,0.46809998
287,0.3121
288,0.5615
289,0.4994
290,0.60929996
291,0.5232
292,0.7992
293,0.5579
294,0.5771
295,0.5731
296,0.4075
297,0.3935
298,0.3969
299,0.4906
300,0.66569996
301,0.5852
302,0.5308
303,0.5438
304,0.74829996
305,0.4148
306,0.2951
307,0.45189998
308,0.5151
309,0.5902
310,0.6696
311,0.4775
312,0.44759998
313,0.4104
314,0.5252
315,0.62369996
316,0.624
317,0.65849996
318,0.42209998
319,0.4172
320,0.4421
321,0.7617
322,0.382
323,0.5403
324,0.3631
325,0.5203
326,0.6328
327,0.52599996
328,0.3236
329,0.4267
330,0.6601
331,0.4308
332,0.5184
333,0.475
334,0.5803
335,0.2289
336,0.54859996
337,0.6953
338,0.70269996
339,0.42229998
340,0.6385
341,0.6293
342,0.709
343,0.607
344,0.394
345,0.44419998
346,0.5196
347,0.6125
348,0.6658
349,0.5139
350,0.6404
351,0.3742
352,0.6965
353,0.5865
354,0.6624
355,0.5229
356,0.53069997
357,0.53529996
358,0.5234
359,0.5302
360,0.5828
361,0.4238
362,0.6818
363,0.3518
364,0.5961
365,0.37939999
366,0.5566
367,0.6134
368,0.624
369,0.5244
370,0.58019996
371,0.494
372,0.6192
373,0.597
374,0.5301
375,0.6279
376,0.5805
377,0.6479
378,0.5038
379,0.6318
380,0.55619997
381,0.3502
382,0.3484
383,0.3353
384,0.5322
385,0.4416
