Object Index,Accuracy,NameofFiles_preds,NameofFiles_GTs
0,0.89769995,./output/segRotationX_15.0/success/pred_0_0.gif,./output/segRotationX_15.0/success/gt_0_0.gif
1,0.95949996,./output/segRotationX_15.0/success/pred_0_1.gif,./output/segRotationX_15.0/success/gt_0_1.gif
2,0.85289997,./output/segRotationX_15.0/success/pred_0_2.gif,./output/segRotationX_15.0/success/gt_0_2.gif
3,0.8329,./output/segRotationX_15.0/success/pred_0_3.gif,./output/segRotationX_15.0/success/gt_0_3.gif
4,0.746,./output/segRotationX_15.0/success/pred_0_4.gif,./output/segRotationX_15.0/success/gt_0_4.gif
5,0.9303,./output/segRotationX_15.0/success/pred_0_5.gif,./output/segRotationX_15.0/success/gt_0_5.gif
6,0.9242,./output/segRotationX_15.0/success/pred_0_6.gif,./output/segRotationX_15.0/success/gt_0_6.gif
7,0.88379997,./output/segRotationX_15.0/success/pred_0_7.gif,./output/segRotationX_15.0/success/gt_0_7.gif
8,0.93219995,./output/segRotationX_15.0/success/pred_0_8.gif,./output/segRotationX_15.0/success/gt_0_8.gif
9,0.6853,./output/segRotationX_15.0/success/pred_0_9.gif,./output/segRotationX_15.0/success/gt_0_9.gif
10,0.7944,./output/segRotationX_15.0/success/pred_0_10.gif,./output/segRotationX_15.0/success/gt_0_10.gif
11,0.8799,./output/segRotationX_15.0/success/pred_0_11.gif,./output/segRotationX_15.0/success/gt_0_11.gif
12,0.8444,./output/segRotationX_15.0/success/pred_0_12.gif,./output/segRotationX_15.0/success/gt_0_12.gif
13,0.8745,./output/segRotationX_15.0/success/pred_0_13.gif,./output/segRotationX_15.0/success/gt_0_13.gif
14,0.9407,./output/segRotationX_15.0/success/pred_0_14.gif,./output/segRotationX_15.0/success/gt_0_14.gif
15,0.79029995,./output/segRotationX_15.0/success/pred_0_15.gif,./output/segRotationX_15.0/success/gt_0_15.gif
16,0.7761,./output/segRotationX_15.0/success/pred_0_16.gif,./output/segRotationX_15.0/success/gt_0_16.gif
17,0.9134,./output/segRotationX_15.0/success/pred_0_17.gif,./output/segRotationX_15.0/success/gt_0_17.gif
18,0.91169995,./output/segRotationX_15.0/success/pred_0_18.gif,./output/segRotationX_15.0/success/gt_0_18.gif
19,0.913,./output/segRotationX_15.0/success/pred_0_19.gif,./output/segRotationX_15.0/success/gt_0_19.gif
20,0.9335,./output/segRotationX_15.0/success/pred_0_20.gif,./output/segRotationX_15.0/success/gt_0_20.gif
21,0.95369995,./output/segRotationX_15.0/success/pred_0_21.gif,./output/segRotationX_15.0/success/gt_0_21.gif
22,0.7732,./output/segRotationX_15.0/success/pred_0_22.gif,./output/segRotationX_15.0/success/gt_0_22.gif
23,0.9357,./output/segRotationX_15.0/success/pred_0_23.gif,./output/segRotationX_15.0/success/gt_0_23.gif
24,0.80869997,./output/segRotationX_15.0/success/pred_0_24.gif,./output/segRotationX_15.0/success/gt_0_24.gif
25,0.8346,./output/segRotationX_15.0/success/pred_0_25.gif,./output/segRotationX_15.0/success/gt_0_25.gif
26,0.509,./output/segRotationX_15.0/success/pred_0_26.gif,./output/segRotationX_15.0/success/gt_0_26.gif
27,0.9242,./output/segRotationX_15.0/success/pred_0_27.gif,./output/segRotationX_15.0/success/gt_0_27.gif
28,0.944,./output/segRotationX_15.0/success/pred_0_28.gif,./output/segRotationX_15.0/success/gt_0_28.gif
29,0.7984,./output/segRotationX_15.0/success/pred_0_29.gif,./output/segRotationX_15.0/success/gt_0_29.gif
30,0.9226,./output/segRotationX_15.0/success/pred_0_30.gif,./output/segRotationX_15.0/success/gt_0_30.gif
31,0.8616,./output/segRotationX_15.0/success/pred_0_31.gif,./output/segRotationX_15.0/success/gt_0_31.gif
32,0.68009996,./output/segRotationX_15.0/success/pred_1_0.gif,./output/segRotationX_15.0/success/gt_1_0.gif
33,0.9098,./output/segRotationX_15.0/success/pred_1_1.gif,./output/segRotationX_15.0/success/gt_1_1.gif
34,0.9456,./output/segRotationX_15.0/success/pred_1_2.gif,./output/segRotationX_15.0/success/gt_1_2.gif
35,0.8763,./output/segRotationX_15.0/success/pred_1_3.gif,./output/segRotationX_15.0/success/gt_1_3.gif
36,0.87009996,./output/segRotationX_15.0/success/pred_1_4.gif,./output/segRotationX_15.0/success/gt_1_4.gif
37,0.93009996,./output/segRotationX_15.0/success/pred_1_5.gif,./output/segRotationX_15.0/success/gt_1_5.gif
38,0.90029997,./output/segRotationX_15.0/success/pred_1_6.gif,./output/segRotationX_15.0/success/gt_1_6.gif
39,0.9151,./output/segRotationX_15.0/success/pred_1_7.gif,./output/segRotationX_15.0/success/gt_1_7.gif
40,0.93259996,./output/segRotationX_15.0/success/pred_1_8.gif,./output/segRotationX_15.0/success/gt_1_8.gif
41,0.7294,./output/segRotationX_15.0/success/pred_1_9.gif,./output/segRotationX_15.0/success/gt_1_9.gif
42,0.5801,./output/segRotationX_15.0/success/pred_1_10.gif,./output/segRotationX_15.0/success/gt_1_10.gif
43,0.82699996,./output/segRotationX_15.0/success/pred_1_11.gif,./output/segRotationX_15.0/success/gt_1_11.gif
44,0.9533,./output/segRotationX_15.0/success/pred_1_12.gif,./output/segRotationX_15.0/success/gt_1_12.gif
45,0.89309996,./output/segRotationX_15.0/success/pred_1_13.gif,./output/segRotationX_15.0/success/gt_1_13.gif
46,0.9145,./output/segRotationX_15.0/success/pred_1_14.gif,./output/segRotationX_15.0/success/gt_1_14.gif
47,0.8943,./output/segRotationX_15.0/success/pred_1_15.gif,./output/segRotationX_15.0/success/gt_1_15.gif
48,0.9535,./output/segRotationX_15.0/success/pred_1_16.gif,./output/segRotationX_15.0/success/gt_1_16.gif
49,0.8821,./output/segRotationX_15.0/success/pred_1_17.gif,./output/segRotationX_15.0/success/gt_1_17.gif
50,0.9079,./output/segRotationX_15.0/success/pred_1_18.gif,./output/segRotationX_15.0/success/gt_1_18.gif
51,0.7427,./output/segRotationX_15.0/success/pred_1_19.gif,./output/segRotationX_15.0/success/gt_1_19.gif
52,0.9005,./output/segRotationX_15.0/success/pred_1_20.gif,./output/segRotationX_15.0/success/gt_1_20.gif
53,0.9723,./output/segRotationX_15.0/success/pred_1_21.gif,./output/segRotationX_15.0/success/gt_1_21.gif
54,0.7381,./output/segRotationX_15.0/success/pred_1_22.gif,./output/segRotationX_15.0/success/gt_1_22.gif
55,0.9202,./output/segRotationX_15.0/success/pred_1_23.gif,./output/segRotationX_15.0/success/gt_1_23.gif
56,0.9098,./output/segRotationX_15.0/success/pred_1_24.gif,./output/segRotationX_15.0/success/gt_1_24.gif
57,0.96459997,./output/segRotationX_15.0/success/pred_1_25.gif,./output/segRotationX_15.0/success/gt_1_25.gif
58,0.7442,./output/segRotationX_15.0/success/pred_1_26.gif,./output/segRotationX_15.0/success/gt_1_26.gif
59,0.89559996,./output/segRotationX_15.0/success/pred_1_27.gif,./output/segRotationX_15.0/success/gt_1_27.gif
60,0.9037,./output/segRotationX_15.0/success/pred_1_28.gif,./output/segRotationX_15.0/success/gt_1_28.gif
61,0.5165,./output/segRotationX_15.0/success/pred_1_29.gif,./output/segRotationX_15.0/success/gt_1_29.gif
62,0.89959997,./output/segRotationX_15.0/success/pred_1_30.gif,./output/segRotationX_15.0/success/gt_1_30.gif
63,0.9338,./output/segRotationX_15.0/success/pred_1_31.gif,./output/segRotationX_15.0/success/gt_1_31.gif
64,0.92149997,./output/segRotationX_15.0/success/pred_2_0.gif,./output/segRotationX_15.0/success/gt_2_0.gif
65,0.9533,./output/segRotationX_15.0/success/pred_2_1.gif,./output/segRotationX_15.0/success/gt_2_1.gif
66,0.9248,./output/segRotationX_15.0/success/pred_2_2.gif,./output/segRotationX_15.0/success/gt_2_2.gif
67,0.8746,./output/segRotationX_15.0/success/pred_2_3.gif,./output/segRotationX_15.0/success/gt_2_3.gif
68,0.8279,./output/segRotationX_15.0/success/pred_2_4.gif,./output/segRotationX_15.0/success/gt_2_4.gif
69,0.918,./output/segRotationX_15.0/success/pred_2_5.gif,./output/segRotationX_15.0/success/gt_2_5.gif
70,0.92969996,./output/segRotationX_15.0/success/pred_2_6.gif,./output/segRotationX_15.0/success/gt_2_6.gif
71,0.87649995,./output/segRotationX_15.0/success/pred_2_7.gif,./output/segRotationX_15.0/success/gt_2_7.gif
72,0.6446,./output/segRotationX_15.0/success/pred_2_8.gif,./output/segRotationX_15.0/success/gt_2_8.gif
73,0.8856,./output/segRotationX_15.0/success/pred_2_9.gif,./output/segRotationX_15.0/success/gt_2_9.gif
